Customer_ID,Age,Gender,Item_Purchased,Category,Season,Review_Rating,Phase,User_Type
2,19,Female,Sweater,Clothing,Winter,3,train,warm
2,19,Female,Backpack,Accessories,Winter,3,train,warm
2,19,Female,Backpack,Accessories,Fall,4,train,warm
4,21,Male,Sandals,Outerwear,Fall,4,train,warm
4,21,Male,Jeans,Clothing,Spring,4,train,warm
4,21,Male,Sandals,Outerwear,Winter,5,train,warm
4,21,Male,Sweater,Clothing,Summer,3,train,warm
4,21,Male,Socks,Clothing,Fall,3,train,warm
4,21,Male,Sandals,Outerwear,Spring,4,train,warm
4,21,Male,Backpack,Accessories,Spring,3,train,warm
4,21,Male,Skirt,Clothing,Summer,4,train,warm
4,21,Male,Jewelry,Accessories,Summer,3,train,warm
4,21,Male,Boots,Accessories,Summer,4,train,warm
4,21,Male,Shirt,Outerwear,Summer,3,train,warm
4,21,Male,Skirt,Clothing,Spring,4,train,warm
4,21,Male,Jeans,Clothing,Winter,4,train,warm
4,21,Male,Shorts,Outerwear,Fall,3,train,warm
4,21,Male,Shoes,Footwear,Spring,3,train,warm
4,21,Male,Jewelry,Accessories,Winter,3,train,warm
4,21,Male,Hoodie,Clothing,Summer,4,train,warm
4,21,Male,Shirt,Outerwear,Spring,3,train,warm
4,21,Male,Pants,Clothing,Fall,5,train,warm
4,21,Male,Coat,Outerwear,Fall,4,train,warm
4,21,Male,Backpack,Accessories,Summer,3,train,warm
4,21,Male,Dress,Clothing,Summer,4,train,warm
4,21,Male,Jewelry,Accessories,Winter,3,train,warm
4,21,Male,Sweater,Clothing,Summer,4,train,warm
4,21,Male,Sandals,Outerwear,Winter,3,train,warm
4,21,Male,Sweater,Clothing,Winter,4,train,warm
4,21,Male,Jacket,Clothing,Fall,3,train,warm
4,21,Male,Jeans,Clothing,Fall,3,train,warm
4,21,Male,Coat,Outerwear,Summer,3,train,warm
4,21,Male,Shoes,Footwear,Winter,4,train,warm
4,21,Male,Sunglasses,Accessories,Fall,3,train,warm
4,21,Male,Sweater,Clothing,Fall,4,train,warm
4,21,Male,Coat,Outerwear,Spring,5,train,warm
4,21,Male,Gloves,Outerwear,Summer,4,train,warm
4,21,Male,Shoes,Footwear,Spring,3,train,warm
4,21,Male,Jeans,Clothing,Summer,3,train,warm
4,21,Male,Skirt,Clothing,Summer,3,train,warm
4,21,Male,Shoes,Footwear,Winter,3,train,warm
4,21,Male,Sneakers,Footwear,Spring,4,train,warm
4,21,Male,Shoes,Footwear,Spring,4,train,warm
4,21,Male,Hat,Accessories,Spring,3,train,warm
4,21,Male,Blouse,Clothing,Fall,3,train,warm
4,21,Male,Skirt,Clothing,Summer,3,train,warm
4,21,Male,Blouse,Clothing,Fall,4,train,warm
4,21,Male,Pants,Clothing,Spring,3,train,warm
4,21,Male,Backpack,Accessories,Spring,4,train,warm
4,21,Male,Sandals,Outerwear,Fall,3,train,warm
4,21,Male,Jewelry,Accessories,Fall,4,train,warm
4,21,Male,Scarf,Accessories,Summer,4,train,warm
4,21,Male,Scarf,Accessories,Spring,3,train,warm
5,45,Male,Dress,Clothing,Winter,3,train,warm
5,45,Male,T-shirt,Clothing,Summer,3,train,warm
5,45,Male,Pants,Clothing,Winter,2,train,warm
5,45,Male,Blouse,Clothing,Spring,3,train,warm
5,45,Male,Shorts,Outerwear,Spring,3,train,warm
5,45,Male,Blouse,Clothing,Winter,1,train,warm
5,45,Male,Socks,Clothing,Spring,2,train,warm
5,45,Male,Jacket,Clothing,Summer,2,train,warm
5,45,Male,Jacket,Clothing,Winter,3,train,warm
5,45,Male,Backpack,Accessories,Summer,3,train,warm
5,45,Male,Dress,Clothing,Fall,3,train,warm
5,45,Male,Backpack,Accessories,Spring,3,train,warm
5,45,Male,Shirt,Outerwear,Summer,3,train,warm
5,45,Male,Jewelry,Accessories,Fall,2,train,warm
5,45,Male,Boots,Accessories,Fall,3,train,warm
5,45,Male,Shorts,Outerwear,Summer,3,train,warm
5,45,Male,Hoodie,Clothing,Spring,3,train,warm
